date,condition,quantity,price,card_name
9/4/24,NM Holofoil,2,$47.45,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
9/4/24,NM Holofoil,2,$56.14,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
9/4/24,NM Holofoil,3,$56.13,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
9/4/24,NM Holofoil,4,$56.13,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
9/3/24,NM Holofoil,1,$56.13,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
9/3/24,NM Holofoil,3,$56.13,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
9/3/24,NM Holofoil,1,$55.66,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
9/3/24,NM Holofoil,1,$47.61,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
9/3/24,NM Holofoil,1,$56.14,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
9/2/24,NM Holofoil,1,$47.61,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
9/2/24,NM Holofoil,1,$53.00,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
9/2/24,NM Holofoil,1,$56.00,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
9/2/24,NM Holofoil,1,$59.78,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
9/2/24,NM Holofoil,1,$60.00,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
9/2/24,NM Holofoil,1,$55.41,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
9/2/24,NM Holofoil,1,$56.91,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
9/2/24,NM Holofoil,1,$47.61,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
9/2/24,NM Holofoil,1,$60.00,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
9/1/24,NM Holofoil,1,$47.67,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
9/1/24,NM Holofoil,1,$55.00,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
9/1/24,NM Holofoil,1,$56.66,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
9/1/24,NM Holofoil,1,$56.60,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
9/1/24,NM Holofoil,2,$56.60,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/31/24,LP Holofoil,1,$58.49,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/31/24,NM Holofoil,1,$56.66,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/31/24,NM Holofoil,3,$56.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/31/24,NM Holofoil,1,$52.43,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/30/24,NM Holofoil,1,$46.67,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/30/24,NM Holofoil,1,$64.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/30/24,NM Holofoil,3,$56.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/30/24,NM Holofoil,1,$57.91,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/30/24,NM Holofoil,1,$58.16,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/30/24,NM Holofoil,1,$55.00,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/30/24,NM Holofoil,1,$57.91,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/29/24,NM Holofoil,1,$58.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/29/24,NM Holofoil,1,$53.00,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/29/24,NM Holofoil,1,$59.86,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/29/24,NM Holofoil,1,$57.90,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/29/24,NM Holofoil,1,$57.92,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/28/24,NM Holofoil,1,$57.92,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/28/24,NM Holofoil,1,$58.90,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/28/24,NM Holofoil,6,$58.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/28/24,NM Holofoil,1,$58.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/28/24,NM Holofoil,3,$58.90,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/27/24,NM Holofoil,1,$57.94,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/27/24,NM Holofoil,1,$58.95,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/27/24,NM Holofoil,1,$58.95,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/27/24,NM Holofoil,1,$53.95,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/27/24,NM Holofoil,1,$64.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/26/24,NM Holofoil,1,$58.95,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/26/24,NM Holofoil,1,$60.48,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/26/24,NM Holofoil,1,$58.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/26/24,NM Holofoil,1,$58.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/26/24,NM Holofoil,1,$58.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/25/24,NM Holofoil,1,$60.00,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/25/24,LP Holofoil,1,$50.79,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/25/24,NM Holofoil,1,$58.95,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/24/24,NM Holofoil,1,$58.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/24/24,NM Holofoil,1,$58.95,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/24/24,NM Holofoil,1,$58.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/24/24,NM Holofoil,1,$60.13,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/23/24,NM Holofoil,1,$69.97,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/23/24,NM Holofoil,1,$58.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/23/24,NM Holofoil,1,$57.68,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/23/24,NM Holofoil,1,$58.95,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/23/24,NM Holofoil,1,$58.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/23/24,NM Holofoil,1,$58.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/23/24,LP Holofoil,1,$56.00,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/23/24,NM Holofoil,1,$58.28,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/22/24,NM Holofoil,1,$58.95,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/22/24,LP Holofoil,1,$52.95,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/22/24,LP Holofoil,1,$50.00,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/22/24,NM Holofoil,1,$64.97,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/22/24,LP Holofoil,1,$49.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/21/24,NM Holofoil,3,$58.95,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/21/24,NM Holofoil,1,$58.95,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/21/24,LP Holofoil,1,$54.79,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/21/24,NM Holofoil,2,$58.95,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/20/24,NM Holofoil,1,$57.90,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/20/24,NM Holofoil,1,$56.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/20/24,NM Holofoil,1,$53.95,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/20/24,NM Holofoil,4,$57.16,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/20/24,NM Holofoil,1,$57.16,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/19/24,NM Holofoil,1,$64.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/19/24,NM Holofoil,1,$59.95,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/19/24,NM Holofoil,3,$59.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/19/24,NM Holofoil,1,$59.33,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/18/24,NM Holofoil,1,$58.93,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/18/24,NM Holofoil,2,$57.16,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/18/24,NM Holofoil,2,$57.16,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/18/24,LP Holofoil,1,$56.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/18/24,LP Holofoil,1,$53.52,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/18/24,NM Holofoil,1,$50.00,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/18/24,LP Holofoil,1,$50.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/18/24,NM Holofoil,1,$50.88,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/18/24,LP Holofoil,1,$53.52,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/18/24,NM Holofoil,1,$59.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/18/24,NM Holofoil,1,$55.57,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/17/24,NM Holofoil,2,$60.49,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/17/24,LP Holofoil,1,$58.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/17/24,LP Holofoil,1,$55.75,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/17/24,NM Holofoil,1,$54.95,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/17/24,NM Holofoil,1,$57.24,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/17/24,NM Holofoil,1,$54.00,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/17/24,NM Holofoil,2,$60.49,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/17/24,NM Holofoil,1,$54.00,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/17/24,NM Holofoil,2,$56.16,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/17/24,NM Holofoil,2,$54.98,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/17/24,NM Holofoil,1,$54.00,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/17/24,NM Holofoil,2,$54.98,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/17/24,NM Holofoil,1,$54.95,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/17/24,NM Holofoil,2,$54.00,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/17/24,NM Holofoil,1,$58.00,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/16/24,NM Holofoil,1,$58.00,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/16/24,NM Holofoil,1,$54.98,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/16/24,NM Holofoil,1,$54.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/16/24,NM Holofoil,1,$60.49,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/16/24,NM Holofoil,1,$54.98,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/16/24,NM Holofoil,1,$54.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/16/24,NM Holofoil,1,$54.00,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/16/24,NM Holofoil,1,$54.99,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/15/24,NM Holofoil,1,$60.49,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
8/15/24,NM Holofoil,1,$60.49,Roaring Moon ex - 251/182 - SV04: Paradox Rift (PAR)
